date,city,latitude,longitude,temperature_c,humidity_percent,wind_speed_mps,day_of_week,hour,is_weekend,day_of_year,pm25
01/01/2019,Montgomery,32.3777,-86.3,12.69,41,8.2,1,0,0,1,10.01
02/01/2019,Montgomery,32.3777,-86.3,10.56,38.8,4.5,2,0,0,2,15.09
03/01/2019,Montgomery,32.3777,-86.3,12.33,64.4,2.3,3,0,0,3,12.38
04/01/2019,Montgomery,32.3777,-86.3,7.99,75.1,8,4,0,0,4,9.55
05/01/2019,Montgomery,32.3777,-86.3,18.38,48.6,4,5,0,1,5,10.27
06/01/2019,Montgomery,32.3777,-86.3,5.23,47.9,0.6,6,0,1,6,7.29
07/01/2019,Montgomery,32.3777,-86.3,9.84,86.2,4.5,0,0,0,7,9.22
08/01/2019,Montgomery,32.3777,-86.3,24.48,77.2,0.9,1,0,0,8,14.75
09/01/2019,Montgomery,32.3777,-86.3,24.47,65.4,2,2,0,0,9,13.18
10/01/2019,Montgomery,32.3777,-86.3,19.76,69.2,5.4,3,0,0,10,15.41
11/01/2019,Montgomery,32.3777,-86.3,21.97,86.2,0.8,4,0,0,11,15.87
12/01/2019,Montgomery,32.3777,-86.3,12.77,35.6,6.2,5,0,1,12,10.84
13/01/2019,Montgomery,32.3777,-86.3,21.97,52.4,0.8,6,0,1,13,7.5
14/01/2019,Montgomery,32.3777,-86.3,16.36,56.8,5.2,0,0,0,14,7.06
15/01/2019,Montgomery,32.3777,-86.3,22.78,34.6,3.4,1,0,0,15,7.49
16/01/2019,Montgomery,32.3777,-86.3,5.71,51.2,2.7,2,0,0,16,15.41
17/01/2019,Montgomery,32.3777,-86.3,23.19,32.4,9.6,3,0,0,17,15.25
18/01/2019,Montgomery,32.3777,-86.3,10.09,82.8,4.4,4,0,0,18,13.96
19/01/2019,Montgomery,32.3777,-86.3,15.63,47.7,0.8,5,0,1,19,16.38
20/01/2019,Montgomery,32.3777,-86.3,14.08,59.3,5.8,6,0,1,20,15.69
21/01/2019,Montgomery,32.3777,-86.3,9.42,35.4,7.1,0,0,0,21,16.9
22/01/2019,Montgomery,32.3777,-86.3,14.96,40.6,1.3,1,0,0,22,12.73
23/01/2019,Montgomery,32.3777,-86.3,12.21,64.4,1.4,2,0,0,23,9.65
24/01/2019,Montgomery,32.3777,-86.3,17.85,35.5,8.4,3,0,0,24,12.16
25/01/2019,Montgomery,32.3777,-86.3,23.35,81.9,9,4,0,0,25,8.99
26/01/2019,Montgomery,32.3777,-86.3,24.26,87.2,6.6,5,0,1,26,11.12
27/01/2019,Montgomery,32.3777,-86.3,22.21,56.3,2.7,6,0,1,27,13.76
28/01/2019,Montgomery,32.3777,-86.3,10.61,34.5,4.9,0,0,0,28,14.84
29/01/2019,Montgomery,32.3777,-86.3,14.74,70.8,4.6,1,0,0,29,12.87
30/01/2019,Montgomery,32.3777,-86.3,18.84,77,3,2,0,0,30,11.01
31/01/2019,Montgomery,32.3777,-86.3,5.81,40,7.7,3,0,0,31,14.19
01/02/2019,Montgomery,32.3777,-86.3,22.72,80.6,6.6,4,0,0,32,16.72
02/02/2019,Montgomery,32.3777,-86.3,12.61,67.2,3.7,5,0,1,33,16.11
03/02/2019,Montgomery,32.3777,-86.3,24.72,61.2,2.2,6,0,1,34,16.07
04/02/2019,Montgomery,32.3777,-86.3,17.64,54.1,2.9,0,0,0,35,10.04
05/02/2019,Montgomery,32.3777,-86.3,7.83,50.7,1.9,1,0,0,36,10.1
06/02/2019,Montgomery,32.3777,-86.3,14.91,85.7,4.7,2,0,0,37,16.44
07/02/2019,Montgomery,32.3777,-86.3,13.99,30.2,2.3,3,0,0,38,11.89
08/02/2019,Montgomery,32.3777,-86.3,23.07,64.6,8,4,0,0,39,17.33
09/02/2019,Montgomery,32.3777,-86.3,24.37,85.2,7.6,5,0,1,40,16.66
10/02/2019,Montgomery,32.3777,-86.3,19.49,78.5,8.5,6,0,1,41,15.07
